content
"这是一个新闻,新闻的关键词是国外恶作剧自我陶醉的听歌者,摘要为国外恶作剧自我陶醉的听歌者,标题为国外恶作剧自我陶醉的听歌者,正文为国外恶作剧自我陶醉的听歌者"
"这是一个新闻,新闻的关键词是当今社会一些不成文的规矩（必须读一读！）,摘要为问题：怎样才能每天都收到这种文章呢？？答案：点击图片上边的《金利鑫投资》即可免费关注01约人要提前一天说（让人提前安排，不会觉得是凑数）02,标题为当今社会一些不成文的规矩（必须读一读！）,正文为问题：怎样才能每天都收到这种文章呢？？答案：点击图片上边的《金利鑫投资》即可免费关注 01约人要提前一天说（让人提前安排，不会觉得是凑数）02用“谢谢你”代替“谢谢”（虽然只是多了一个字，但是诚恳很多很多）04不回微信前请别发朋友圈（排除有理的情况） 05三人行，一人绑鞋带其他两人记得等他06不要在连排的座位上面抖腿！抖腿！抖腿！08别人在睡觉的时候懂得安静二字09看电影请保持安静（别解说电影，别从头到尾逼逼叨叨）10在地铁上不要一个人靠着扶栏可怜一下别人无处安放的手 11在宿舍或公共场合看视频听音乐玩游戏等请！戴上耳机！戴上耳机！戴上耳机！12别以为胖子不介意就能被你一直说胖13别人在用电脑的时候，别在旁边冲着人电脑屏幕看14公共场合请不要吸烟（默默忍受二手烟侵害的人嘴上不说不代表她们心里不骂）15咳嗽打喷嚏的时候及时捂住 16吃东西不要发出声音，喝水不要发出声音不要用嘴发出各种奇怪的声音17借了钱及时还！还不了也得及时打招呼，让对方知道你没有忘记18不要跟一个圈子里的人吐槽这个圈子里的人19聚餐的时候对不爱吃的菜可以不吃但不要极力表现对它的厌恶你让爱吃的人怎么下咽？20饭桌上即使偏爱哪道菜也不要一直一直只吃那道菜 21公共场合不要让你爱的人下不来台22他人在输密码时走开或将脸转向另一侧23有人夹菜时，不要转桌24不要感觉别人理所当然应该帮你25聚会的时候，请不要自顾自低头玩手机 26别人给你发消息一定要回就算不想聊也可以告诉他哪怕是用表情或者标点来委婉的表达不回消息不是高冷，是没教养27在电梯时靠右面站着左边留给急需上楼或下楼的人走动28不要没经过同意就随便看别人手机29别人在跟你说他喜欢的东西时即使不喜欢也希望你不要反驳（打破别人的喜悦这是一件很没礼貌的事情） 人与人的交往当中处处都是学问只有多多学习才能在这个小社会中立足！金利鑫投资：主要经营范围包括金融投资及投融资管理；国内外上市大宗商品的交易交收，原油指数；金利鑫投资汇集电子商务、创新金融、供应链管理、咨询、信息等现代高端服务，为投资者提供安全、快捷、高效的投资渠道和专业、多元、个性化的投资方案。公司通过先进的组织架构、完备的治理模式、一流的人才队伍、丰富的业务经验，构建了崭新的组织体系、业务运行模式和内控机制，打造出一个高端金融投融资综合性的服务投资平台。“金利鑫投资”以“诚信为先、专业为本、服务社会”为经营宗旨，为广大客户提供从交易、融资、结算到交收的全程服务，我们真诚欢迎您的加入！"
"这是一个新闻,新闻的关键词是给你一个不穿秋裤的理由，要还是不要？,摘要为时间定位在2016年10月24日，这个季节已经步入深秋不同于往年的秋高气爽，美如画的风景，今年的秋天只有一种感觉：忘穿秋裤！！！感觉夏天一过,标题为给你一个不穿秋裤的理由，要还是不要？,正文为时间定位在2016年10月24日，这个季节已经步入深秋不同于往年的秋高气爽，美如画的风景，今年的秋天只有一种感觉：忘穿秋裤！！！感觉夏天一过，“蹭一下子”我们就已经即将入冬了...... ↓↓废话不多说，今天给大家继续推荐几款走心的小游戏♀♀1、点点连锁反应这是一个戳点点，然后碰到更多点点的游戏，谁玩谁知道。 2.心探益智游戏，在各种地图找到一颗心。考验智商…… 3、捏气泡对，你没有看错，就是捏气泡，真的只是捏气泡，闲得没事找事的时候可以来捏会。 4、树叶精灵画风美腻，BGM也是精灵气满满。用树叶精灵变成各种东西来帮助其他树叶精灵到风洞里～会发光的树叶果然好萌啊 5、糖果跳跃萌系低逼格游戏，谁玩谁知道 6、徒步旅行画风略新奇，但色调鲜活。关卡类的游戏～ 最后交代一句：妹子，天气真的冷了......记得穿秋裤哦~"
"这是一个新闻,新闻的关键词是潮这看，2017最流行的趋势马上就要掀起盖头来了！,摘要为眼看风生水起的2016马上就要过完了，但是咱们好玩的地方还有那么多没去，好吃的东西还有那么多没吃，最重要的是，要强烈表示：好看的衣服咱们还没,标题为潮这看，2017最流行的趋势马上就要掀起盖头来了！,正文为眼看风生水起的2016马上就要过完了，但是咱们好玩的地方还有那么多没去，好吃的东西还有那么多没吃，最重要的是，要强烈表示：好看的衣服咱们还没有穿够呢！！！时髦的姑娘别着急，2016马上就是过去式，想穿新衣服的话，请跟紧梅赛德斯—奔驰中国国际时装周2017春夏系列的脚步，去看看都有哪些刷爆fashion观的发布秀！Come on ！快把时间定在10月25日——11月2日，把坐标定在北京饭店、751D?PARK以及华贸中心和太庙等场地，把注意力集中在78场专场发布会。当然，我知道你们可能也想顺便瞄几眼长得帅的大长腿，和长得美的大明星。昨晚冰冰家的大黑牛和你们大爱的何穗何仙姑空降现场哦！！！ OK，敲黑板~那就先来一睹这次时装周都有哪些亮点吧！ 划重点1：word天，歌力思把时装周闭幕秀开到了太庙 是艺术的穿越还是现代主义摩登时代的完美到来 歌力思2017春夏系列主题为“艺术之旅”。现代意义上的时装设计从诞生的一刻起就注定与艺术结缘，本季灵感正来源于与时装密不可分的艺术创作。 划重点2：时装周最红的竟然不是真人！ 尚流机器人小宝助力做教育事业的王成童装 发布会，到底是突破还是突围? IVAN WANG CHEUNG·王成童装发布会本次发布的产品是IWCgirls，为3-9岁的女童春夏系列。本次发布会的主题为《公主成长日记》，每一个女孩都有一个公主梦，当公主遇上“未来”，这一世纪交织的碰撞，会产生怎样的火花？ 划重点3：时尚界的妖孽祁刚改吃素了？ 以“归心”为主题的跨界大秀不仅突破妖艳风格 更有后续猛料！！！ 归心·祁刚陈坤男装发布会本次主题为归心相信回归之路亦是寻觅之路，显现之路；而心在此刻真实的绽放。服装是归心与大众沟通唯一的语言，也是绽放的全部。归心以设计阐述精神，以制作荣耀传承，从而探索自我，绽放自我，最终回归真实，回归简单，回归自然，回归健康，回归快乐。 划重点4：高颜值名模回归秀场竟然不是为了走秀？ 中国第一批名模马艳丽用多年模特视角设计出“隐忍的奢华” Maryma·马艳丽高级定制时装发布会本次发布的设计理念为“隐忍的奢华”。奢华的不是高档面料的堆砌，而是源于对生命的尊重，不繁复不骄奢，以简洁明了的线条、精湛的工艺细节展现设计师对服饰的理解。 划重点5：韩国鲜肉太嫩，东北爷们太老，还属上海小开最撩人 十佳设计师刘勇两场大秀贯穿时装周两大秀场 26年倾情打造绅士时尚梦 亨利赫伯特·刘勇私定作品发布会本季延续上季的“天界”主题，将主题定为“天溢”。服装系列的设计构思来源于“北极光”和20世纪比利时最杰出的超现实主义画家雷尼-马格利特PENE MAGRITTE的画作。 划重点6：全世界都在穿中国布！ 张义超传统手工艺夏布与九五丝御·邓兆萍美轮美奂 楚和听香让喧哗中的女汉子回归成最古典淑女的样子 不会做衣服的文化人，不是真正的大师张肇达 荣昌夏布张义超创意作品发布会以“当夏”一一时尚夏布，再现中国生态为主题。以在国人生活中行走数千年的中国时尚生态纺织品代表——被誉为“中国草”的中国非物质文化遗产荣昌夏布为创作载体，结合重庆市荣昌区的特色代表：安陶，阶梯窑，折扇，海棠花等同样原生态的文化因子，用时尚、艺术的创作手法融合提升。 九五丝御·邓兆萍时装发布会本次发布以千年商都广州为主要设计元素，结合岭南传统工艺“三雕一彩一绣”，并再次联手岭南知名画家邓小玲和蒙复旦共同创作出一幅美轮美奂的画卷。 楚和听香·楚艳时装发布会本季发布作品灵感来源于中国传统文化，经由高质量的面料、精湛的工艺、丰富的色彩，再现中国传统服饰手工技艺，注重细节、关怀心灵，传递中国式的优雅、恬淡与从容。 划重点7：往届金顶设计师又有大招要出？ 潘怡良、陈闻葫芦里将献给我们什么拯救时尚灵药？ GIOIAPAN·潘怡良时装发布会本季设计灵感来自于生活，潘怡良擅于应用针织素材的垂坠特性展现服饰曲线，加上不时迸发的灵感所做的点缀，增添许多不平凡的时尚感。一针一线编织出细腻的霓裳，让每一件服装有其独特的风格。 d’nim·陈闻牛仔装发布会2017春夏系列，d’nim秉承艺术牛仔的创新理念，品牌总监陈闻将具有南法风情的薰衣草画面融入了牛仔时尚中之中，使牛仔更具激情、性感、色彩与图案的魅力。这是东西文化的融合，这是柔美阳刚的律动，这是艺术与时尚的碰撞。 还有这些重点也得要注意呐 兔绒传说再战皮草江湖，听说变得更轻更美了？ 新型面料引领者刘薇“安全防护系列”告诉你什么才叫有质感的衣服！ JOJO童装走秀记，想酷就得从娃娃抓起！ 蕾沃尔·庄淦然时装发布会本季发布的主题是“创新时尚奇葩”。随着“梳织针织化”的设计创新，突破传统工艺的“多彩提花”织法相继设计出高档幽雅、经典时尚的针织时装、职业装、西装、大衣、旗袍等服装，使产品既保持正装有型有款的挺拔轮廓，又显示了针织服装穿着的自由度和舒适感。 在肆虐烈火吞噬家园的千钧一刻，我们感恩那双将生命抢回的无畏双手；在城市每一条静谧或喧闹的街衢，我们安心于那些箴默不语静静站岗的身影；在万家灯火阑珊享受温馨祥和的日子，我们牵挂在高空中以勇敢和责任带给我们光明的使者……. JOJO·孙伟童装发布会本季发布中品牌风格强调儿童的时尚生活态度——“我的世界我做主”，产品以黑白经典色为主打，塑造儿童时尚ICON的形象。品牌分为“BLACK GOLD”和“POP COLOR”两大主系列，突出儿童的时尚、个性、有型。今天的重点就划到这里了，在接下来的8天时间里，大家记得不定时地搬个板凳吃着瓜来看这出属于中国的时尚盛宴哦~"
"这是一个新闻,新闻的关键词是烟袋斜街，铜像,摘要为本报讯（记者朱天龙）什刹海烟袋斜街有座“大清邮局”（什刹海邮政所），门前摆着一组铜像，呈现一个孩子正将信件塞进邮筒的场景。近日，“寄信小孩”,标题为北京烟袋斜街“大清邮局”一铜像被人推倒损坏,正文为本报讯（记者朱天龙）什刹海烟袋斜街有座“大清邮局”（什刹海邮政所），门前摆着一组铜像，呈现一个孩子正将信件塞进邮筒的场景。近日，“寄信小孩”铜像被人推倒损坏，邮局表示将尽快修复。昨天下午3时许，记者在烟袋斜街的“大清邮局”门前看到，邮筒铜像还在原地，旁边的“寄信小孩”却没了踪影，只在地上留下几颗钢钉。“有天晚上一男的喝多了，在这儿耍酒疯，把铜像给推倒了。”什刹海邮政所的工作人员称，他们上班时看到“寄信小孩”已经倒在地上，旁边还留有一大摊呕吐物。向附近的巡逻人员打听，得知肇事者是一名在酒吧街喝多的男性游客。但由于邮政所门前没有监控探头，无从寻找这名肇事者。“我们只能把铜像先放屋里，等人来修。”工作人员带记者进入屋内，看到了被暂存于此的“寄信小孩”。记者注意到，铜像除脚底有折断的痕迹，手臂上还绑着一层层胶带。“胳膊没磕着，绑胶带是避免被游客触摸损坏。”工作人员表示，这组铜像是“大清邮局”2011年11月开业时立在门前的，现在没了“寄信小孩”，这两天来参观的游客都少了。他们已上报了铜像受损的情况，预计近本周内就能修复并摆回原处。工作人员也呼吁游客要文明游览，不要做损坏公共设施的事。"
"这是一个新闻,新闻的关键词是12岁女孩遭同校男生尾随 疑在破旧房屋被杀害[高清版],摘要为12岁女孩遭同校男生尾随疑在破旧房屋被杀害[高清版],标题为12岁女孩遭同校男生尾随 疑在破旧房屋被杀害[高清版],正文为12岁女孩遭同校男生尾随疑在破旧房屋被杀害[高清版]"
"这是一个新闻,新闻的关键词是不忘初心忆长征│逆境中前行，危急中思变，这是星星之火汇聚的光，辉映着一段血色的史诗！,摘要为八十年前，中国共产党领导下的工农红军心怀希望和光明，义无反顾地踏上二万五千里漫漫征程，以非凡的意志成就了一段人类历史上最伟大的英雄史诗。八十,标题为不忘初心忆长征│逆境中前行，危急中思变，这是星星之火汇聚的光，辉映着一段血色的史诗！,正文为八十年前，中国共产党领导下的工农红军心怀希望和光明，义无反顾地踏上二万五千里漫漫征程，以非凡的意志成就了一段人类历史上最伟大的英雄史诗。八十年后的今天，我们翻开那些承载着血与火的篇章，一张张生动的面孔恰是这段光荣与伟大历程的最好注解。 为纪念长征胜利80周年，江西网络广播电视台从今天起在“两微一端”隆重推出百集精彩影像微展播《不忘初心忆长征·精神永存向未来》下篇，全面开启80年来影响了一代又一代人的长征“记忆”，重塑“不怕牺牲、前赴后继，勇往直前、坚韧不拔，众志成城、团结互助，百折不挠和克服困难”的长征精神。今天推送的系列微视频是“长征路上的会议”。 通道会议：战略转兵 挽救中央红军 目睹一路西征损兵折将，红军或将毁灭之时，身处逆境的毛泽东破解了国民党在湘西以重兵构筑四道防线，张网以待、“请君入瓮”的计谋，提出了挽救党中央、挽救红军的战略转兵计划。这就是长征史上极为重要又少为人知的通道会议，在危机中挽救了3万多中央红军。（视频请在wifi环境下观看） 黎平会议：看到“黎明曙光” 历经悲壮的湘江战役后，从广西老山界，到湘黔边界，再到黎平，中央红军高层领导和党中央的核心决策人物苦苦思索党和红军的命运。在黎平翘街召开了黎平会议，最后确定了向贵州转兵的战略决策，毛泽东的正确意见终于被党中央采纳，避免了陷入重围的危险，使红军争取了主动。黎平会议是长征以来具有决定意义战略转变的关键，为遵义会议的召开作了重要的准备。（视频请在wifi环境下观看） 遵义会议：生死攸关的转折点 1935年1月15日至17日，中共中央在遵义召开了政治局扩大会议。会上，周恩来、王稼祥、张闻天积极发言，支持增选毛泽东为中央政治局常委，从而确立了毛泽东在红军和党中央的领导地位。会议批判了第五次反“围剿”和长征以来秦邦宪(博古)、李德在军事指挥上的错误，肯定了毛泽东关于红军作战的基本原则，制订了红军今后作战的基本方针。遵义会议，在中国革命的危急关头，挽救了党，挽救了红军，挽救了中国革命，是我党历史上一个生死攸关的转折点。（视频请在wifi环境下观看） 苟坝会议：马灯照亮前行路 苟坝会议，一个胜利的大会！它是遵义会议的继续，也是遵义会议的收官之作。手提马灯走暗夜象征了真正的革命者排除万难也要坚持真理的信念和决心。毛泽东在遭受孤立时的坚持，不仅挽救了红军，彰显了卓越的战略眼光和军事才能，也进一步树立了他在红军中的威望。从苟坝会议开始，毛泽东正式成为新的军事三人组的主要指挥者，成为革命队伍的领导核心。（视频请点击文末“阅读原文”观看） 瓦窑堡会议：举起抗日旗帜 瓦窑堡会议是长征途中召开的又一次重要会议。在毛泽东的主持下，会议科学地总结了两次国内革命战争的基本经验，确定了建立抗日民族统一战线的方针和政策，为党领导全国人民迎接伟大的抗日战争奠定了政治基础。瓦窑堡会议后，红军决定东渡黄河，把红军行动与革命根据地发展的主要方向放在山西、绥远等省，积极打通抗日路线，准备对日作战。（视频请点击文末“阅读原文”观看）资料来源：江西网络台编辑：朱梦瑶"
"这是一个新闻,新闻的关键词是炳恒集团首期兑付再被延期 兑付金放贷涉嫌违规,摘要为北京商报讯（记者崔启斌刘双霞）上海炳恒财富投资管理（集团）有限公司（以下简称“炳恒集团”）兑付进程再改期。昨日，炳恒集团在其官方微信平台发布,标题为炳恒集团首期兑付再被延期 兑付金放贷涉嫌违规,正文为北京商报讯（记者崔启斌刘双霞）上海炳恒财富投资管理（集团）有限公司（以下简称“炳恒集团”）兑付进程再改期。昨日，炳恒集团在其官方微信平台发布了《延期兑付公告》，曾承诺于本月15日开展的第一次兑付再被延期，将兑付金放贷却涉嫌违规。对此，有投资者表示，在兑付困难的情况下，将资金继续放贷，如果这笔贷款成为坏账，投资人的兑付将被越拖越远。北京商报记者就相关问题联系炳恒集团，但其客服电话无人接听，而官网公布的多个电话被提示为空号。据了解，炳恒集团决定将第一期兑付资金用于安徽蚌埠商务楼贷款的过桥垫资（预计过桥周期为一周），资金回笼后，回款再用于5月到期并已签展期协议的客户本金兑付，预计第一次兑付的时间为10月25日。炳恒集团在公告中称，由于目前公司资产变现困难，债权追讨难度大，第一期兑付将无法如期进行，经公司与新成立的资产处理监督小组沟通协商后，也是出于为广大客户利益考虑，全力保全公司资产价值，尽最大努力减少客户本金损失，最终做出将兑付资金继续放贷的决定。而对于炳恒集团的这种做法，分析人士表示有违规嫌疑。苏宁金融研究院高级研究员薛洪言表示，私自将客户兑付资金挪作他用肯定是违规行为。炳恒目前处于特殊时期，资金兑付出现危机，不确定性强，更应该严格保护可兑付资金的安全。将可兑付资金用于超短期的新项目，并不能显著增加可兑付金额，却承担新的资金损失风险，并非理性方案。今年5月炳恒集团出现兑付危机，5月9日，该公司发布公告称，“近期社会舆论关于P2P存在高风险的影响，使众多客户对P2P行业失去信心，出现大量赎回情况，导致公司正常资金兑付出现紧张”。5月11日下午，在炳恒集团召开的客户说明会上，炳恒集团总裁苏国美在现场称，已向有关部门备案，并表示所有投资人本金不受损，已经成立工作小组。工商信息显示，炳恒集团成立于2014年5月，注册资金2亿元。公开资料显示，截至目前，平台资金漏洞超1亿元。该公司旗下有恒有钱和钱宝贝金服两家线上理财平台。网贷之家数据统计，截至2016年5月8日，恒有钱待收金额为1394.2万元，钱宝贝金服待收金额为8056.78万元。此前，炳恒集团号称完成数十笔公司优先兑付，兑付了绿色通道及80岁以上老人的款项。对于之后的兑付安排，炳恒集团在公告中表示，10月17日-25日，5、6月到期客户可进行福建及安徽枞阳房产预约登记并保留名额，用于全额抵债。已登记过房产的到期客户，将不予以10月25日第一次的本金兑付。对于未到期客户，可以自行前往福建现场进行办理登记并签约。“炳恒财富的兑付方案从各个方面看都不太合理，不排除公告背后另有玄机，需要高度关注公告的真实性。”薛洪言进一步提醒。"
"这是一个新闻,新闻的关键词是汇元科技第一届董事第五次会议决议的公告,摘要为公告编号：2015-009证券代码：832028证券简称：汇元科技主办券商：国信证券北京汇元网科技股份有限公司第一届董事会第五次会议决议的公,标题为汇元科技第一届董事第五次会议决议的公告,正文为公告编号：2015-009证券代码：832028证券简称：汇元科技主办券商：国信证券北京汇元网科技股份有限公司第一届董事会第五次会议决议的公告本公司及董事会全体成员保证公告内容的真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带法律责任。 一、会议召开和出席情况 北京汇元网科技股份有限公司(以下简称“公司”)第一届董事 会第五次会议于 2015年 4月 1日在公司会议室召开。会议通知于 2015 年 3月 20日以电话方式通知到达各位董事。会议由董事长邱磊先生主持，本次应出席会议的董事为 5人，实际出席董事 5人。本次会议符合《中华人民共和国公司法》和《公司章程》的有关规定。 二、议案审议情况 本次董事会以现场投票的方式审议通过了以下议案： (一)会议审议通过了《关于关联交易的议案》，并提请 2015年第 三次临时股东大会审议。公司关联董事吴洪彬、吴妍冰回避表决。 本公司在 2015年 3月 17日 2015年第二次临时股东大会(公告编号为 2015-008)决议通过：同意转让公司所持北京允公允能科技 有限公司 100%股权给北京大米投资管理中心(有限合伙)，上述股权的转让价格为 2，000，000元的议案，由于办理工商变更需求，原方案无法执行，现形成新的决议内容如下： 公司将其持股 100%的子公司北京允公允能科技有限公司转让给 北京大米投资管理中心(有限合伙)及吴洪彬。其中，北京大米投资管理中心(有限合伙)拟出资 199万元，受让北京允公允能科技有限 公司 99.5%的股权，吴洪彬拟出资 1万元，受让北京允公允能科技有 公告编号：2015-009 限公司 0.5%的股权。详见公司在全国中小企业股份转让系统指定信息披露平台发布的公司《关联交易更新公告》公告编号【2015-010】。"
"这是一个新闻,新闻的关键词是中国农机工业规模优势明显 满足农业90%份额,摘要为【中国农机网行业要闻】“中国四平﹒农业生产机械化峰会”昨天在吉林省农业大市四平举行。中国农业机械工业协会会长陈志表示，中国农机工业已经能满足,标题为中国农机工业规模优势明显 满足农业90%份额,正文为【中国农机网行业要闻】“中国四平﹒农业生产机械化峰会”昨天在吉林省农业大市四平举行。中国农业机械工业协会会长陈志表示，中国农机工业已经能满足我国农业生产90%的份额需求，规模优势非常明显。 统计显示：目前，我国农机制造规模以上企业有2000多家，其中包括主机生产厂及配套件生产厂，已形成相对较完整的农机产业链。同时农机行业的集中度有了进一步提高，培育了一批骨干龙头企业，如中国一拖、福田雷沃、常州东风、湖州星光等制造企业，已经形成一定规模生产能力。骨干企业制造能力明显提升；同时逐步培育了一批知名零部件企业，如广西玉柴、谷合传动、无锡柴油机、浙江昌亨、浙江海天、常州柴油机公司、湖州生力液压等发展势头良好。走过黄金十年的中国农机工业，目前产出规模比十年前翻了两番。同时产品结构不断优化。农机装备总量持续增长。2015年全国农业机械总动力达11亿千瓦。其中大马力拖拉机、大型联合收割机、青饲料机等主要产品，性能有了很大提升，基本能够满足国内市场。粮食生产急需的水稻插秧机、玉米收获机等均保持高速增长，保有量分别达71.2万台、41万台，同比分别增长7.1%、19.5%。主要产品产量增长迅速，能够满足国内90%的市场需求。"
"这是一个新闻,新闻的关键词是郭川家人和团队不放弃搜救,摘要为原标题：郭川家人和团队不放弃搜救据新华社北京电27日传来美国海岸警卫队暂停搜救郭川的消息，但郭川团队和家人并没有因此放弃搜救船长。他们认为郭,标题为郭川家人和团队不放弃搜救,正文为原标题：郭川家人和团队不放弃搜救据新华社北京电27日传来美国海岸警卫队暂停搜救郭川的消息，但郭川团队和家人并没有因此放弃搜救船长。他们认为郭川落水还不足三天，有可能穿着救生衣，且夏威夷海域的海水并不寒冷。郭川应该还有生还的机会。得到檀香山海岸警卫队暂停搜救的通知后，郭川岸队马上向他们发去书面请求，但檀香山海岸警卫队对提供大型舰只支援的请求表示无能为力。与此同时，郭川的家人、亲友和同事发起了向民间力量求援的努力。夏威夷的一家直升飞机旅游公司愿意提供五到十架直升飞机增援海上搜索的努力。但是这种直升机的续航能力只有500公里，而郭川落水点离夏威夷至少900公里。所以需要得到有海上加油平台的舰只支援。郭川岸队现在正在联系商船，争取一切办法找到合适的能够提供直升机续航支持的船只，以组织直升机搜救。团队表示，如果有任何救援郭川船长的意见建议或可靠途径帮助救援工作，请以电邮形式通知郭川团队，地址是jessie.zhou@chinasportbusiness.com(责编：赵雪晨、杨磊)"
