content
"这是一个新闻,新闻的关键词是创业为王，够强你就来！,摘要为0,标题为创业为王，够强你就来！,正文为 0"
"这是一个新闻,新闻的关键词是打造中国企业好歌曲，唱响时代最强音,摘要为《打造中国企业好歌曲，唱响时代最强音》中国企业歌曲音乐人周广兵听过很多的企业歌曲，从中也有了自己的某些感受和想法，我将列举以下三点谈一下自己,标题为打造中国企业好歌曲，唱响时代最强音,正文为 《打造中国企业好歌曲，唱响时代最强音》中国企业歌曲音乐人周广兵听过很多的企业歌曲，从中也有了自己的某些感受和想法，我将列举以下三点谈一下自己的见解。1企业歌曲歌词创作应顺应时代的发展纵观现代企业的歌曲，大家都认为是用较为简单朴素的词汇，催人上进的格调，令人奋发撼动心魄的音乐背景，将企业文化的核心内容加以渲染晕化。将企业文化在市场竞争中开括创新，锐意进取 或是在风雨发展历程中所凝聚的战斗力，所演变升华的一种内在精神，用音乐的形式释放和阐明。用以感恩同舟共济的老员工，团结新员工，用以继承和发扬，用以挖掘企业文化理念，铸造文化品牌，增强企业知名度。鼓舞人心，激励斗志，共创未来。对 ，这是对的，但是在新时代的背景下很多歌曲歌词的粗制滥造，以及重复使用，换汤不换药，阻碍了企业歌曲歌词的健康发展和有效的传播，企业文化是融入了时代的背景，但是企业歌曲歌词是否同样融入了时代的背景呢？大家都知道义勇军进行曲因为适应了那个时代的背景，顺应了群众的心声而成为了时代的经典，但是现在谁会在大街小巷或是有事没事的时独自哼唱呢，随着时代的发展和进步，在创作歌曲歌词的过程中不仅要深挖企业的文化，更要与时俱进开拓创新，与大时代大背景紧密的结合起来。企业文化要依赖于时代的发展，企业的歌曲歌词更要顺应时代发展创新的理念和潮流，简单的来说就是现在流行什么，我们就要去学习，现在有什么时尚，我们就要紧随。将企业歌曲歌词与新时期社会大熔炉中锤炼，重生。所以企业歌曲不仅要讴歌企业，更是对社会一种责任意思的集中体现，不仅要凝聚企业内部员工，更要感动社会大众，激励鼓舞社会大众。在社会这个大家庭中充分展现企业文化的发展理念，故歌曲的创作不单单是剖析企业文化，更是对现代社会文化整体意识的一种表达。企业歌曲《最是那一抹红》2企业歌曲歌词与创作人员创作人员深入基层剖析企业文化，采风和针对性的研究企业的发展理念已不能完全的创作出一首好的歌曲，或是好的一首企业歌曲，创作人员的创作思路和文化底蕴以及个人的人生观，价值观，社会观的认识将局限的创作的范围，或是将企业歌曲的创作逼到了一个瓶颈，歌曲的创作不仅是文字的排列组合，加以艺术的渲染，更是一种责任意识或是社会责任意识的一种集中体现。创作人员站在企业的角度必将束缚了自己创作的自由发挥，以及狭隘的认为企业歌曲的创作是针对企业文化发展理念的，但是企业文化理念不单单是一些书面的文字，拼搏的汗水，或是宽敞明亮的办公司，更是一种内在的心声，这种心声出自于中国深厚的文化，出自于企业或是中国大众的理想和信念，出自于员工心中的宏伟蓝图，这才是最真实，最有力度，最有深度的，创作人员应该将这种感受，这种心声转化成文字，歌曲，达到企业歌曲创作的最初目的。 但是最终目的又是什么呢，歌曲创作出来但是无人问津，或只是一种形式，不能很好的传唱，不能较好的流行，必然是半途而发，无疾而终。所以创作人员一定要紧随时代的脉搏，在现有的企业歌曲创作中力求创新，不断尝试新风格，新形式，紧紧围绕在社会，企业，员工或是社会大众，创作出像九九女儿红这样脍炙人口的歌曲，不仅可以从企业文化僵硬的素材中，还可以从中国博大深厚的历史中发掘和创造。开拓企业歌曲创作新局面达到企业文化的宣传推广，最终的目的。故企业的歌曲的创作不仅要求创作人员的综合素质，更要求不断创新，敢于迎难而上的勇气，毕竟企业歌曲的创作，不仅服务于企业更是对中国文化的继承和挖掘，不仅是对内部员工的一种激励，更是对社会大众的一种鼓舞。战斗精神歌曲《当兵就是那么帅》http://my.tv.sohu.com/us/54252992/61515981.shtml3企业歌曲与流行歌曲企业歌曲区别于流行歌曲，但是真正能够被员工或是社会大众接受的往往是流行歌曲，为什么，随着时代的发展，人们的素质、品味不断的在改变向上，所以人们对歌曲的多样性，品味性，都有所要求所以在创作过程中的借鉴和学习是必不可少的，但是绝大部分的人认为企业歌曲应该有他的严肃性，从而局限了企业歌曲的发展，或是根本找不到前进的方向，不能深入人心更不能融入社会，所以我的想法是将流行歌曲与企业歌曲在不断的实践和创作中达到一种平衡的状态，当然这是一种尝试，有一定的风险，创作的手法，技术不仅要娴熟，更要有一种事业的心态，举例来说，这很久的一段时间中国风像巨大的风暴一样刮的漫天飞，也有一部分人在企业歌曲的创作过程中有所醒悟，但是局限于企业歌曲的种种束缚，未能良好的运用，造成了盲目慌乱的效果，所以我们首先不要有太多的压力来创作歌曲，不要有太多的顾忌，本来创作就是要自由的，所以流行歌曲能够较好的传唱，我们应该在流行歌曲的基础上思考企业歌曲的创作方向。通州榜样形象歌曲《通州榜样》http://my.tv.sohu.com/us/156185769/78256743.shtml周广兵企业歌曲作品：《最是那一抹红》——-----广州番禺永华红木家具品牌形象歌曲，并拍摄mv《AYACC》——------------2011年亚洲动漫大赛主题歌曲《爱在诚信》-------------福建省歌舞类一等奖，三明市艺术团必唱歌曲《好人永乐》-------------感动永乐主题歌曲，感动永乐颁奖晚会歌曲，并拍摄mv咪咕原创大赛优秀奖《有蛇有得》-------------蛇年贺岁宣传歌曲，拍摄mv《心中的好姑娘》---------栾添翔个人形象单曲《当兵就是那么帅》-------2013全军军歌并获奖，2013年十大军旅歌曲第三名，被评为战斗精神歌曲下发全军，新时代军人形象歌曲，征兵宣传歌曲《土生土长》-------------微电影《谁不愿做农民》主题歌《为祖国添一缕书香》-----汉阳二中形象宣传歌曲，湖北一等奖《醉美大中华》-----------卫东形象宣传歌曲《当兵就是这个样》-------入围全军强军战歌，军人形象歌曲《与文明同行》-----------创建文明新城主题歌，并拍摄mv《红颜蓝颜》-------------山东大叔形象歌曲，单曲，并拍摄mv《隐形战场无形剑》--------某军区形象宣传歌曲，团队歌曲，拍摄mv《火辣辣的部队滚烫烫的兵》-新时代军队形象宣传歌曲《文明达人》--------------文明活动主题歌，文明达人形象宣传歌曲，并拍摄mv《当兵的哥们最气派》------2014年原创好歌曲优秀奖，唱响好兵歌演唱赵骏《一触即发》--------------世纪迷彩摄影室主题宣传歌曲《小当唛》----------------小当唛企业宣传歌曲《把爱压进枪膛》----------某军区宣传推广歌曲《谁敢嚣张就将它灭亡》----某军区宣传推广歌曲《妈是儿心上的酒》--------咪咕原创音乐人二等奖 著名歌唱家 李海颖演唱《鱼骨梳》----------------咪咕原创音乐人一等奖 姚剑演唱《家居住在心上》------------岭南之声专辑，赵洁莹演唱《饮水思源》----------------河源市宣传歌曲，岭南之声专辑，赵洁莹演唱《通州榜样》--------------通州区榜样主题歌，榜样形象宣传推广歌曲，并拍摄mv《天生的倔强》------------陕西佳鑫伟业球队主题歌，团队形象歌曲《当兵就是那么爽》--------新时代军人形象歌曲，演练团队激励歌曲《好客山东人》------------山东省旅游推广形象歌曲《山东有片红高粱》--------红高粱形象推广歌曲《黔林州之歌》------------企业宣传歌曲《好的来》---------------企业宣传歌曲。。。。。"
"这是一个新闻,新闻的关键词是绿色和平联合创始人宣布他是气候变化怀疑论者,摘要为绿色和平国际联合创始人、但从1985年起就不再参与绿色和平活动的PatrickMoore宣布他是一名气候变化怀疑论者。他离开绿色和平是因为他,标题为绿色和平联合创始人宣布他是气候变化怀疑论者,正文为绿色和平国际联合创始人、但从1985年起就不再参与绿色和平活动的PatrickMoore宣布他是一名气候变化怀疑论者。他离开绿色和平是因为他认为该组织走向了政治左倾，变成了一个极端主义组织。他在Heartland研究所网站上发表文章解释说，没有科学证据证明气候变化会带来灾难性的影响，这一假说在科学上并无定论。他说，地球从小冰河期结束以来一直在逐步变暖，时间早于人类开始重度依赖于化石燃料。在小冰河期之前的暖化期间，维京人殖民了格陵兰岛和纽芬兰，那时候的地球气候比现在更暖和，而罗马人时代也同样如此。他对人类活动是气候变暖的主因这一观点持怀疑立场。他认为，当大气二氧化碳浓度达到400ppm，我们的粮食作物、森林和自然生态系统仍然处于对二氧化碳饥饿的状态中。"
"这是一个新闻,新闻的关键词是京津冀，内蒙,摘要为经济观察报获悉，目前《京津冀协同发展规划纲要》出台在即，山西、内蒙古等省份，都期望通过最后的努力，争参与取到京津冀一体化发展中来。据山西省政,标题为京津冀一体化扩围将见分晓 晋鲁内蒙古有望受益,正文为经济观察报获悉，目前《京津冀协同发展规划纲要》出台在即，山西、内蒙古等省份，都期望通过最后的努力，争参与取到京津冀一体化发展中来。据山西省政府方面的一位官员介绍，去年1月中旬，国家发改委曾组织北京、天津、河北、山西、内蒙古、山东、辽宁七省（市、区）的发改委负责人，研究讨论京津冀一体化发展的扩围问题，初步达成的意见是将山西、内蒙古、山东、辽宁的部分城市纳入进来。此后，在国家发改委牵头编制《京津冀协同发展规划纲要》的过程中，也多次征求过山西、内蒙古等省（区）的意见、建议。据悉，京津冀一体化可能只会扩展至山西、内蒙、山东3省的部分地区，辽宁未被纳入。前述山西省政府官员告诉经济观察报，今年全国两会上山西方面是以全团代表签名的方式，向全国人大提交了建议，恳请有关方面将山西正式纳入京津冀协同发展战略当中，希望在交通基础设施建设、能源供应、环境治理、旅游文化等方面，与京津冀展开深度合作。山西方面负责起草参与京津冀协同发展建议的是山西省发改委主任王赋。他认为，在交通设施合作方面，山西可以与北京联合构建进京农副产品“绿色通道”，可以与天津、河北，共同建设高速公路、铁路、港口等综合交通网络；在强化能源合作方面，山西可以与京津冀三地都可以在煤炭、电力、新能源等领域深入合作，可以作为京津冀能源供应的“大后方”；在环境治理方面，山西可以与京津冀实现联防联治，可以较快推进京津两地的空气质量的全面改善和提升。前述山西省政府官员告诉经济观察报，从去年1月山西参加国家发改委组织的京津冀一体化发展讨论会之后，山西省政府就意识到，参与京津冀经济一体化将给山西经济发展带来新契机。紧随其后，由山西省政府主动出面，一方面，与国家发改委积极争取机会，另一方面，与京津冀政府、企业方面，展开合作洽谈，希望形成具体的合作项目。去年5月，由山西省王一新副省长带队，山西省发改委、省经信委、省商务厅等8个省直部门和太原、大同、朔州、忻州等7个市的有关负责人，曾分别在天津、北京，与当地的对口部门、近百家企业，进行了投资合作洽谈，并成功签订了一些合作项目。天津市山西商会会长张世伦认为，山西之所以迫切想参与京津冀一体化，主要是想承接一些来自京津冀的高技术产业项目转移，比如像新能源、环保、新材料、电子、物流等项目，在山西显得非常薄弱，有的甚至是空白。如果北京、天津的这类项目能在山西落地，将会对山西经济转型起到较大推动作用。在今年全国两会上，来自内蒙、山东等省份的一些参会代表，也提交了相关参与京津冀一体化发展的议案、提案或建议。呼和浩特是内蒙古自治区首府，该市市长、全国人大代表秦义，今年向全国人大提交了《关于推动呼和浩特融入京津冀一体化和一带一路建设的建议》。其中提到，现在呼和浩特已经完全具备融入“京津冀一体化”和“一带一路”的现实基础，有关方面应该把“呼包鄂”城市群纳入京津冀一体化总体规划中。在承接产业转移方面，秦义提出，呼和浩特非常适合承接北京的通信、金融、电子商务、政府及企业大型数据中心等后台服务类的产业转移。其外，呼和浩特还为京津冀地区提供优质农畜产品和清洁能源保障等服务。去年曾有国家发改委人士透露，山西大同市、山东德州市、内蒙古赤峰市都有望入围京津冀一体化当中。全国人大代表、德州市市长杨宜新在今年全国两会期间表示，下一步将充分利用德州市列入京津冀协同发展规划的战略机遇，主动与京津冀展开深度合作。经济观察报从一位接近国家发改委的专家处获悉，在今年全国两会期间，来自辽宁、陕西等方面的部分参会代表，也都提出了参与京津冀协同发展的建议，但到底哪些省份能成功入围，预计只有山西、山东、内蒙古的可能性较大。前述山西省政府官员补充表示，目前《京津冀协同发展规划纲要》已经通过中央财经领导小组审议，京津冀一体化的扩围结果将很快见分晓。"
"这是一个新闻,新闻的关键词是图书室，志愿者,摘要为东亚讯（记者周东魁）21日9时30分，由吉林省青少年发展基金会立项，依托心文化传播志愿者协会共同开展的“希望工程&#34;心文化&#34;项目”，在长春市正,标题为征集志愿者共同完善 农村小学图书室,正文为东亚讯（记者周东魁）21日9时30分，由吉林省青少年发展基金会立项，依托心文化传播志愿者协会共同开展的“希望工程""心文化""项目”，在长春市正式启动。据介绍，希望工程“心文化”系列活动中共有四大项内容，包括“""蒲公英""计划”、“""心悦读""心灵读物”、“""心文化·爱心书屋""项目”、“""麒麟·扬帆远洋""青少年心理音乐剧”。其中，“""蒲公英""计划”，实施时间是学期开始的1个月内，每学年为2次。主要是结合小学生心理特征，用故事和游戏的方法切入国学内容，打造25-30分钟时长的公益样板课程，而后，通过经过培训的大学生志愿者向小学生进行讲解。预计在2015年打造10堂公益心灵课堂，评聘50名“希望工程精英志愿讲师”，并做百场公益课堂。在四项系列活动中，能够广泛参与的是“""心文化·爱心书屋""项目”。在整个活动中，为基础设施薄弱的小学送心灵课堂的同时，采取科学设计书单、统一设计书架的方式，完善农村小学图书室建设工作。帮助对象为城市边缘及农村图书室基础薄弱的中小学，每学期至少4次活动。将通过爱心书包及爱心书架等形式，动员社会力量积极参与公益文化传播，争取在2015年募集项目资金（物折款）10-30万元。有财力的爱心企业或有爱心的个人，都可以参与到活动之中。"
"这是一个新闻,新闻的关键词是“不老舞神”杨丽萍下月“雀动”南京,摘要为2013年杨丽萍舞剧《孔雀》在南京演出时不少人因没抢到票而遗憾，如今《孔雀》又要来到南京了。昨天，“不老舞神”杨丽萍携小彩旗来到南京雅居乐滨,标题为“不老舞神”杨丽萍下月“雀动”南京,正文为2013年杨丽萍舞剧《孔雀》在南京演出时不少人因没抢到票而遗憾，如今《孔雀》又要来到南京了。昨天，“不老舞神”杨丽萍携小彩旗来到南京雅居乐滨江国际参加《孔雀》南京新闻发布会，宣布该剧将于下月10日起在南京连演三场。与前年在南京演出不同的是，在《孔雀》中以转圈方式表现“时间”的小彩旗经过春晚、话剧《山楂树之恋》的演出之后，其举手投足都备受外界关注，俨然已是明星模样。此次亮相南京，小彩旗也被粉丝们簇拥，并被问起了“时尚之道”。小彩旗表示：“我穿衣服也没什么特别的经验，就是怎么舒服怎么穿。当然受姨妈的影响，更偏爱民族服装。”"
"这是一个新闻,新闻的关键词是宝马集团2016年前三季度销量创历史新高,摘要为宝马集团2016年9月份在全球市场继续保持成功发展，实现10.5%的两位数增长，使当月汽车销量增至237，973辆；1-9月累计销量达1，7,标题为宝马集团2016年前三季度销量创历史新高,正文为宝马集团2016年9月份在全球市场继续保持成功发展，实现10.5%的两位数增长，使当月汽车销量增至237，973辆；1-9月累计销量达1，746，638辆，同比增长6.2%，成为公司历史上业绩最佳的前三个季度。引入注目的是，BMW新能源车型持续放量，9月份销售7000多辆，前三季度累计销售超过4万辆。 宝马集团负责BMW品牌销售与市场的董事罗伯森博士表示：“宝马集团的成功发展得益于在全球各主要市场的均衡发展和全线产品的畅销，而代表着未来的BMW新能源汽车的出色表现更让我们倍感振奋。我们将继续坚持均衡发展和可持续增长的公司战略，在2016年全年和未来赢得更大成功。” 中国市场稳步提速，传统能源和新能源市场齐头并进宝马集团在中国市场显示出强劲的活力，在9月份再次刷新单月增幅。得益于全部主力车型的增长，宝马集团在9月份的销量达到49，204辆，同比增长19.6%。其中，BMW 2系旅行车增长138.8%， 达2，452辆，显示出这一创新车型概念的迅速普及；全新BMW X1增长30.1%，自上市以来每月都跨上新的台阶；全新BMW 7系在第二季度以来逐月上升，9月单月比去年同期增长113%。今年前三季度，BMW和MINI汽车在国内累计销售379，176辆，同比增长10.6%；BMW品牌汽车销量为356，220辆，增长11.1%。除了上述新车型对销量增长的积极贡献，BMW 3系和5系等也继续保持畅销，BMW 3系累计销售超9万辆，并于9月份推出了增加配置的2017年度新款车型，产品竞争力得到进一步加强；前9个月，BMW 5系总计销售近12万辆，继续领跑最受关注的豪华商务轿车细分市场，而在刚刚过去的9月份，BMW 5系销售超过1.5万辆，增长了10.9%。作为诸多细分市场的开拓者，BMW X家族的表现尤其可圈可点。在前三个季度，BMW X家族五个车型总计销量超过10.4万辆，平均增幅超过15%，而BMW X5前三个季度的增幅达到18.9%，稳居细分市场的领导者。随着国产BMW X1的销量攀升，声誉卓越的BMW X3的未来国产，以及不远将来BMW X7和BMW X2的加入，可以预见，BMW X家族将创造更大的成功。同时，宝马以领先新能源战略布局国内市场的效果也开始显现，BMW i 在前三季度同比增长超6倍。截至2016年年底，宝马集团将在中国提供5大系列的9款电动产品，以豪华品牌中最强大的新能源产品阵容引领市场发展。此外，宝马在出行服务方面也捷足先登，截至年底计划建成超过1，500个即时充电TM充电桩。 全球市场三大汽车品牌及摩托车均创佳绩2016年9月，BMW品牌汽车在全球市场增长9.4%，达197，419辆；强大的BMW X家族表现抢眼，持续为销量增长提供动力，其中全新BMW X1增长160%，而BMW X3、X4、X5也实现两位数增长。随着全新BMW 7系车型系列日渐完备，BMW旗舰系列在9月份表现突出，全球销量比去年同期翻番有余。今年前三个季度，BMW品牌共交付客户1，479，936辆汽车，同比增长6%。MINI品牌在2016年9月创下单月销量纪录，首次突破4万辆，这使MINI在前三个季度的销量达264，077辆，同比增长7.2%。劳斯莱斯汽车同样在前三季度保持稳定增长，共交付客户2，625辆。而宝马摩托车9月份的销量增长10.2%，达12，215辆，前三季度累计销量增至116，044辆，使宝马摩托车有望连续第6年刷新销量纪录。面向未来，宝马集团已在最具增长潜力的紧凑型豪华车、豪华SUV及新能源汽车领域完美布局，而公司正以“全新第一战略”为蓝图加强在大型豪华车、高性能汽车和自动驾驶汽车等领域的创新，将智能轻量化、驱动系统电动化、智能互联和智能驾驶等创新科技融入公司推出的每一款新产品，引领汽车行业走向未来。 长春宝兴行长春宝兴行汽车销售服务有限公司是华晨宝马，德国宝马，共同授权的吉林省首家BMW授权经销商。公司提供全线BMW车型销售服务和高标准的BMW售后服务，客户在这里可以享受新车销售、二手车销售、专业维修、原厂配件供给等专业服务。至尊品位将在每一个细微的专业服务中体现。展厅位于长春市经济技术开发区东环城路10043号，集展示、销售、售后服务和零部件供应于一体。展厅中陈列的每一款车型无不体现BMW完美设计。从灵动炫酷的Z4到尊贵豪华的7系随时恭候您的赏析。我们随时为卓尔不群、品位超凡的您提供尽善尽美的服务。长春宝兴行成为吉林省首家MINI品牌售后服务授权店，提供MINI原厂配件，保修。保养。维护等相关服务秉承BMW全球标准的管理模式，长春宝兴行全体员工原竭诚为您提供全面、专业的服务，使您感受BMW汽车品牌产品带来的驾乘乐趣。长春宝兴行汽车销售服务有限公司销售电话：0431-84650015服务电话：0431-84898888配件电话：0431-84650072地址：吉林省长春市经济技术开发区东环城路10043号"
"这是一个新闻,新闻的关键词是一寸长一寸强？啪啪啪中我们不知道的真相,摘要为小电影里精力充沛的男演员，往往有我们难以企及的惊人壮举和时长。蒙了多少人，其实真实的生活并非如此。丁丁的尺寸不能决定啪啪质量不同的男性在啪啪,标题为一寸长一寸强？啪啪啪中我们不知道的真相,正文为 小电影里精力充沛的男演员，往往有我们难以企及的惊人壮举和时长。蒙了多少人，其实真实的生活并非如此。丁丁的尺寸不能决定啪啪质量不同的男性在啪啪的时候，丁丁的长度从9厘米到16厘米不等。丁丁在坚硬的时候平均长度为13厘米。21%认为丁丁的长度很重要，32%认为丁丁的周长很重要。只有1%的女性认为上述两者也就是尺寸非常重要。有了女朋友 还要打飞机在男女关系中，自己运动的比例是多少？在稳定的恋爱关系中，85%的男性和45%的女性仍然有自己运动的行为。这是一种自然行为，没有年龄和是否还是单身的界限。伴侣的选择是为了繁衍后代在全世界37个国家中开展的一系列研究表明，在选择伴侣这个问题上，女性更注重一个男人是否能提供养育孩子所需的安全条件如经济上的前景，创造力，雄心壮志，而男性则更注重女性是否具有利于生养的特点，比如年龄还有健康程度。啪啪啪的时间就啪啪啪整个过程来说，一般在6到10分钟左右，若时间少于3分钟，那就需要来运动以及饮食来调节身体的能力，以便延长时间。性爱的频率对于大多数夫妻而言，做爱不是每日的必修课。45%的夫妻每月做几次爱，34%的夫妻每周做2到3次，13%的夫妻一年做几次，7%的夫妻一周做四次或以上，剩下1%的夫妻一年都不做一次爱，大多数夫妻一周做爱1到2次。女性不是每次都能高潮对女性而言，最令她们愉悦的性经验在于与伴侣建立起连接的感觉，而不完全是由于女人性高潮。85%的女性反馈到，自己难以达到性高潮，但是她们都对性爱状况表示满意。相比小电影来说，以上这些才是真实的性，要做的就是别把性爱当做艰巨的任务，而是去享受它。"
"这是一个新闻,新闻的关键词是学科动态调整促高教提质,摘要为10月19日，国务院学位办公布《关于下达2016年动态调整撤销和增列的学位授权点名单的通知》，25个省份的175所高校撤销了576个硕士和博,标题为学科动态调整促高教提质,正文为10月19日，国务院学位办公布《关于下达2016年动态调整撤销和增列的学位授权点名单的通知》，25个省份的175所高校撤销了576个硕士和博士学位授权点，还有25个省份的178所高校增列了366个学位点。据悉，这是我国自2015年制定《博士、硕士学位授权学科和专业学位授权类别动态调整办法》以来，开展的首次全国范围内的学位授权点调整。与今年3月42所高校被撤销50个学位授权点不同，此次调整主要是学校根据自身教学资源和市场需求进行的自选动作，而此前被红牌罚下的主要是在2014年评估中被判定为“不合格”的学位授权点，只有少数是学校主动申请放弃的。在主动撤销部分授权点的同时，高校也增加了一些看好的学科专业。比如，北京理工大学撤销了载运工具运用工程、环境工程2个博士点和心理学等10多个硕士点，但增加了设计学博士点；上海财经大学撤销了农业经济管理博士点，华东师范大学撤销了系统科学博士点和硕士点，但分别增加了法学博士点和法学硕士点。红牌罚下或黄牌警告，绿色通道直接上场，授权点评估和动态调整双管齐下，推动我国高等教育从要数量到要质量转变。我国已建成全世界最大的高等教育体系，作为金字塔尖的研究生数量也不小。2015年，我国共招收64.51万名研究生，在学研究生达191.14万人，当年毕业的研究生达到55.15万人。他们中的一部分是我国劳动力市场的""高配版本""，有些却高不成低不就，职场竞争力堪忧。造成这种尴尬局面的原因，除与学生自身素质有关外，很大程度上是因为所学专业教学质量不高、与市场需求脱节。因此，建立学科动态调整，有利于推动学校注重质量自律、注重人才培养、注重学科建设，提高研究生教育质量；有利于推动专业设置适应产业发展，提升研究生的就业竞争力；有利于推动学位与研究生教育走内涵式发展道路，让高等教育服务经济社会发展的能力和水平再上新台阶。当前，我国正在建设一流大学和一流学科，各高校的学科设置和调整不仅要着眼培养有职场竞争力的人才，还要考虑学校特色和学科力量，结合服务区域经济发展进行。在此过程中，切忌跟风，切忌扎堆上马。从今年起，学科动态调整将成为常态。就在不久前，学位办又启动了新一轮学位评估，针对2012年获得授权的学术学位授权点和专业学位授权点展开自我评估和抽查。对此，高校和相关部门一定要避免短视。有些学科可能暂时遇冷，但随着经济社会发展，是有可能转热的；有些冷门学科就业前景不佳，但具有极强的基础地位，需要持之以恒地培养人才。若高校未经严谨决策就撤销授权点，5年内无法再次申请，再加上研究生培养时间较长，一旦错过发展机遇就很难挽回，需要引起高度重视。"
"这是一个新闻,新闻的关键词是窃电、违约用电的别想逃,摘要为□记者李春特约通讯员王国锋通讯员高明哲韩笑本报讯7月22日，汝州市供电公司成功查获一名用户违约用电，追补电费3.6万元。这是该公司在打击窃电,标题为窃电、违约用电的别想逃,正文为□记者李春特约通讯员王国锋通讯员高明哲韩笑本报讯7月22日，汝州市供电公司成功查获一名用户违约用电，追补电费3.6万元。这是该公司在打击窃电、违约用电专项行动中的一个镜头。为有效打击窃电、违约用电行为，依法保障公司和电力客户合法权益，汝州公司精心制定了打击窃电、违约用电专项行动方案。加强组织领导，明确排查重点，对高损线路、高损台区、餐饮及娱乐等商业客户、临时用电客户、执行居民电价的非居民客户等17类用电对象进行重点排查；深化技术手段，充分利用各类营销系统数据和营配调贯通建设成果，完善窃电及违约用电线索排查方法和嫌疑甄别技术；实施警企联动，加强与公安执法部门的沟通协调；建立长效机制，通过专项行动，完善线损定期分析、异常预警和处置工作规定，建立窃电和违约用电用户“黑名单”，健全警企联动、定期巡检等管理制度。截至目前，已排查低压用户4260多户，查获窃电用户13户，追补电量3.58万千万时，排查高压用户43户，查处违约用电3户，追补电费14.1万元。"
"这是一个新闻,新闻的关键词是公安部，取名,摘要为湖北日报讯刘武俊含冷僻字身份证使用难，一直是困扰这部分群体的老大难问题。公安部日前召集工信部、人社部、住建部、卫计委、人民银行、中国民用航空,标题为公共服务意识更要升级,正文为湖北日报讯刘武俊含冷僻字身份证使用难，一直是困扰这部分群体的老大难问题。公安部日前召集工信部、人社部、住建部、卫计委、人民银行、中国民用航空局、中国铁路总公司等7部委有关业务主管部门，推动冷僻字身份证在各部门特别是基层窗口单位正常使用。媒体报道，上海一市民因姓名里有冷僻字，申领身份证7年未果；北京芈姓市民因为生僻字，身份证办了一年，即便如此，每次出差旅游坐飞机，在登机之前都要去经理值班柜台手写登机牌，盖章之后才能登机；还曾有市民的名字里有个“垚”字，在办理银行卡时，就变成了“？”或“*”，给日常生活带来很多不便。据统计，我国有将近6000万公民的名字中含有冷僻字。对待冷僻字，以往户籍登记部门会建议公民为新生儿起名时尽量使用常用规范汉字。但或是为了不让孩子重名，或是为了图个深刻内涵，许多家长在为孩子取名时，依然会选择用冷僻字。而随着他们长大成人，有一些人因为在生活中处处碰壁，只好改名。姓名代表了汉字文化，是中国传统文化的重要组成部分，不应该为了录入的方便，就限制公民的取名自由。公共服务应是以公民的具体需要为依归，而非要求公民让渡自身权利，来适应公共服务的不足，政府的公共服务，不应因公民姓名繁易程度而打折扣。更何况，随着信息技术进步，对于生僻字录入已经不存在技术门槛，解决身份证冷僻字使用问题，其实是个并不复杂的问题。公安部从2004年就开展调研，建立了公安人口信息库专用字库，并推动各用证部门完善有关识别系统，眼下更全面推动冷僻字身份证在各部门特别是基层窗口单位正常使用，就是积极的补课之举。解决身份证冷僻字使用问题，就是尊重每一张身份证，看似冷门的冷僻字，考验的恰恰是公共服务的成色如何。因为一个字就被卡住不动，实质上还是有懒政思维在拖后腿。该升级的不只是有关人口信息管理系统，更重要的是升级政府部门以人为本的服务理念。"
