content
"这是一个新闻,新闻的关键词是幼儿故事大王 巧端面碗 儿童故事大全,摘要为幼儿故事大王巧端面碗儿童故事大全,标题为幼儿故事大王 巧端面碗 儿童故事大全,正文为幼儿故事大王巧端面碗儿童故事大全"
"这是一个新闻,新闻的关键词是教练，扎切罗尼,摘要为中新网6月20日电据外电报道，世界杯C组第二轮比赛今晨结束，日本被只有十人作战的希腊队逼平，小组出线形势严峻。日本主教练阿尔贝托·扎切罗尼赛,标题为日本队主教练：球员缺想象力 没有发挥速度优势,正文为中新网6月20日电 据外电报道，世界杯C组第二轮比赛今晨结束，日本被只有十人作战的希腊队逼平，小组出线形势严峻。日本主教练阿尔贝托·扎切罗尼赛后表示，日本队没能发挥出速度的优势。扎切罗尼认为，球员在侧翼传球的时候似乎找不到他们应有的节奏，而且在这场比赛赛中太缺乏配合。“在下半场，我们在人数上就有优势，但我们在传球的时候还需要更快一点，”这位意大利教练说：“我们打得太慢了，跑的也不多，而且防守还缺乏纵深。”“球员之间的位置太窄给我们造成了不少问题，我们在传接球时的速度本该更快一些。” 教练扎切罗尼补充道。希腊队长卡楚拉尼斯在比赛仅仅开始37分钟就因为累积两张黄牌被罚下，日本队在人数上就占优势，但他们进攻次数实在太少，以至于没能将优势转化为机会。在接下来和哥伦比亚的比赛中，日本需要加强进攻才有出线的可能。希腊和日本一样，两场比赛后累计都只有1分，出线形势严峻。日本队作为本届世界杯全球第一支晋级决赛圈的球队，靠的就是复杂多变的快速传球。但教练扎切罗尼在本场比赛后表示，他的球员在这场比赛中缺乏想象力。“日本在这种国际赛事中就应该拿出比拼速度的勇气，”他说，“在最近的两场比赛中，我们的速度优势却都没有体现出来。”"
"这是一个新闻,新闻的关键词是消息称苹果开发增强现实设备：戴起来不傻,摘要为虽然谷歌眼镜这个概念还是挺有趣的，但是它的设计和售价注定了这款产品无法在市场上获得巨大成功。不过日前有分析师指出苹果目前正在开发新的增强现实,标题为消息称苹果开发增强现实设备：戴起来不傻,正文为 虽然谷歌眼镜这个概念还是挺有趣的，但是它的设计和售价注定了这款产品无法在市场上获得巨大成功。不过日前有分析师指出苹果目前正在开发新的增强现实设备，戴着苹果的这款设备你也不会觉得自己像个傻子似的。Piper Jaffray 分析师 Gene Munster 援引来自虚拟和增强现实行业的消息称，目前苹果有一支小团队对增强现实领域进行试验性研究。 该分析师指出虽然消费者增强现实设备可能得在 10 年后才真正流行起来，但是目前苹果已经在开发新一代设备，它将和 iPhone 在智能手机行业一样，产生变革性影响。Muster 指出苹果知道开发这种增强现实设备的关键在风格，他们想要开发出消费者愿意戴的增强现实设备。苹果此前已经招聘了不少时尚行业专家，为 Apple Watch 的营销出谋划策。此前苹果已经获得多项增强现实技术专利，其中一些专利覆盖了透明屏幕以及地图解决方案。"
"这是一个新闻,新闻的关键词是13岁结婚，生了11个孩子，仅活下来2个……,摘要为其实我一直害怕提起我的外婆，某些赤裸裸的过往，总会在一些不经意的瞬间，不动声色地敲击我的心口，就像春日里的雨后竹笋，迫不及待地想要暴露。豆蔻,标题为13岁结婚，生了11个孩子，仅活下来2个……,正文为 其实我一直害怕提起我的外婆，某些赤裸裸的过往，总会在一些不经意的瞬间，不动声色地敲击我的心口，就像春日里的雨后竹笋，迫不及待地想要暴露。豆蔻年华生儿育女1937年，我的外婆13岁。这年春天，漫山遍野的迎春花飞扬跋扈地盛开。在一个风和日丽、阳光明媚的日子，外婆小小的手拎着一个七成新的手编竹箱，摇曳着自在轻盈的马尾辫，走进镇上悠长婉转的小巷，嫁给了我年轻敦厚的外公。外婆稚嫩的脸上璀璨的笑容，像漫山遍野娇俏的迎春花，眼波流转，熠熠生辉，灼热了外公明媚的眸子。外公牵起外婆的小手，微颤的双手紧紧缠握，羞涩的脸庞灿若桃花，烛台上的烛火欢快地扭动着火苗，烛光印着两个羸弱的身影，投射到家徒四壁的墙壁上。这一刻，他们的心，无比的接近，无比的幸福。那一年，我的外公19岁。外公是镇上木艺厂的木工师傅。心灵手巧的年轻小伙子吃苦耐劳，不管是朽木还是烂木，到外公手下都能摇身一变化腐朽为神奇。13岁的外婆，搁到如今这年代，13岁的小女孩还刚上初中，正是天真浪漫成天疯玩不谙世事的豆蔻少女。可那时的外婆就已经开始生儿育女相夫教子了。祖孙三代相依为命外婆是个苦命的人儿。她从13岁嫁给外公开始，一共生育了11个孩子。可是因为家里穷，又有日本鬼子的侵略掠夺，11个孩子竟然只有我的妈妈和一个舅舅侥幸存活了下来。我很小的时候开始听到妈妈说起外婆的这段生育经历，一直到现在，我都没有办法想象外婆那二十多年的生育辛酸血泪史，那该是多么的肝肠寸断，呕心泣血的人生啊！每次妈妈一提及我都忍不住涕泗横流。 尽管如此，外婆仍然是个乐观又开心的老人。外婆从不轻易提起她的过去。我想，也许外婆是害怕想起，所以把它们藏进心底，不轻易触碰，然后微笑地面对生活吧！我的爸爸是个孤儿，所以从小没有爷爷奶奶的我备受外公外婆的宠爱。我最喜欢黏着外婆。因为在县城上学，只有在假期才能回镇上探望外公外婆。所以每一次外婆来我家小住我都特别兴奋，整日里黏着外婆陪我做游戏，睡觉也要搂着外婆才肯去睡。一到临近外婆回家的日子了我就开始不舍和焦虑，自个儿偷偷地抹眼泪。妈妈说我做梦都在哭着喊外婆别回家。嬉笑怒骂皆成文章外婆喜欢抽烟。她不舍得抽贵烟，只抽最便宜的五毛钱一包的岳麓山牌的本地烟。那时候，我最开心的事情就是把零花钱一毛一毛地攒下来给外婆买烟。外婆一边抽着我从指缝里挤榨出来的岳麓山，一边夸我是个好孩子的时候，我觉得自己特有面子特拽。 外婆抽烟也有误事的时候。她喜欢坐在床上一边抽烟一边干活，常常一不小心就把床单烧出个窟窿来，把妈妈气得七窍生烟却敢怒不敢言。外婆知道自己犯错了表现也很乖，耷拉着脑袋不吭声，一副受了委屈的小媳妇模样。嬉笑怒骂皆成文章啊，妈妈只能苦笑，劝她:烧着了床单不碍事，我最怕就是您把房子烧起来了，伤着花花草草小桌小椅不碍事，就怕伤着您自己啊！小时候，我最喜欢放暑假。因为一到放暑假，我就可以去镇上跟外公外婆在一起了。每到傍晚的时候，外婆就会穿着背心汗衫把我抱进大木盆里给我洗澡玩水。我看着外婆因生育而严重下垂的乳房，笑着说外婆的乳房像条倒挂的老丝瓜，又扁又长……外婆不说话，只是看着我微微笑。那一刻，温软的时光里，我忽然觉得外婆仿佛苍老得连笑容都染满了风霜！ 高三的时候，外婆专门去金铺给我定制了一对金耳环，说是送给我考上大学的礼物。妈妈对我说:好好地珍藏它们，这是外婆留给你的纪念，以后长大了，看到它们，就像看到了外婆。我却不以为然，转身就送了一只给最好的闺蜜……大学毕业后，我到了广东中山工作。努力工作，赚钱买房，然后把外婆接过来跟我一起生活成了我当时最大的心愿。放任潇洒，终成遗憾可是，自我工作后，外婆的身体就开始每况日下。我放假回家探望外婆，外婆已经不大能够自理生活了，走路需要搀扶，吃饭需要喂。2003年的正月，刚过完春节，我从家里回到学校上班。上班没几天，妈妈打来电话，说外婆病危了。我连夜打了个的士去了广州火车站，一时买不到合适的火车票，在火车上站了十多个小时赶回了家。当我满面尘灰地扑倒在外婆的病床前，看着外婆身上手上密密麻麻的针眼，就像路灯下飞扬着、紧密依偎着的尘埃。我的眼泪如同决堤的海，在眼眶里汹涌澎湃。妈妈说外婆一直在等着我回来！我坐在外婆的床沿，小心翼翼地帮外婆揉肚子。不敢让外婆看见我的悲伤。转过头的一刹那，有液体哗啦啦流下来，冰凉的触感。空气里和着消毒水的味道，连同外婆微凉的体温，一起在房间里黯然神伤。回家五天后，外婆的病情有所好转。家里人怕影响我的工作，催促我回来上班。爸爸苦口婆心地对我说：你还刚刚参加工作，要努力工作，不能随便请假……然后我又回到了中山。 第二天，我正在上班，家里传来噩耗：外婆去世了！原本平平常常没有什么意义的时间的刻度，在那一天，却成了一道阴阳两隔的分界线。无法相信，我竟然再也见不到最亲爱的外婆了。我泪眼婆娑地跟家里人说我要请假回家。爸爸妈妈说：你还刚回来过两趟。回来一趟很不容易，要坐那么久的车。你工作也很重要，刚工作就总是请假也不好。家里有我们在，你就别管了，外婆能理解你的……年少时的我们，容易绝望，容易退缩，也容易因为一点点细微的抚慰，重新燃起生活的希冀。有时候，那些自以为翻滚颠簸的内心纠葛，那些看起来割舍不掉的耿耿于怀，仅仅只因为某人的一句话，就可以轻而易举地化主动为被动，放任自己演变成袖手旁观。忘记了当时23岁的我究竟是怎么想的，也许是路途太遥远，交通不方便，也许是工作太忙……总之，我竟然真的没有回去给最爱的外婆送终，而是选择了留在工作岗位。放任潇洒，终成遗憾！心怀感恩不忘过往十多年过去，每一次想起外婆，一万斤的羞愧便从心底涌出。羞愧，就像湿润的冷空气，你总想避开它，拿温暖的毛衣躲开它，但是你一旦露出干燥的皮肤，它就会贴上你的皮肤，沁入你的骨髓，让你无处安放。大冰写过一段话，我特别能够感同身受：不管是欠别人，还是欠自己，你曾欠下过多少个“对不起”？时间无情第一，它才不在乎你是否还是一个孩子，你只要稍一耽搁、稍一犹豫，它立马帮你决定故事的结局。它会把你欠下的对不起，变得还不起。又会把很多的对不起，变成来不及。 因为从心底觉得羞愧，我不敢提及外婆。然而就是因为不敢提及，才让我觉得自己更羞愧。有些不敢对别人说起的话，才是我们真正的孤独。那些长久不愿提及的事情，其实说出来才是最好的解脱与告白。所以我写下了这篇文章。人的一生总会经历很多的错过和悔憾，那些走错的路，那些转错的弯，那些流过的泪水，那些对不起的人，都会让你在泪眼婆娑中渐渐清醒，让你终于成长为今天的自己。不恋过去，哪能迎来未来。我一直深深地思念着我的外婆。随着年龄的增长，我也渐渐明白，有些人即使不能在你的生命中长久停留，但你却因为她曾带给你的爱，始终能够朝着一个春暖花开的方向前行，这未尝不是另一件美好的事情！来自亲人的爱很重要，那是能让我在这个世界里保持自省的唯一方式。亲人的爱，是这个世界上最亘古不变的真理，它让我们学会了自省，学会了奉献，让我们变得更有责任，更能担当。因为拥有亲人的爱，我们不孤独，我们喜相逢……诚如作者所言，放任潇洒，终成遗憾。但情之所至，生之所达，百师君觉得，只要心怀感恩，不忘过往，就不必羞愧。珍惜当下，不惧未来，更不惧过往！本文为粉丝投稿，仅代表作者观点，供家长朋友们交流讨论。编辑| 鸭脖"
"这是一个新闻,新闻的关键词是留言,摘要为民以食为天。中国人到底有多爱吃？一起来感受一下：01要不你以为中国为啥叫china？(china)02可能全世界这么多大学，只有中国的大学门,标题为为什么中国叫China？看完我竟无言以对……,正文为 民以食为天。中国人到底有多爱吃？一起来感受一下： 01要不你以为中国为啥叫china？(china)02可能全世界这么多大学，只有中国的大学门口才会有小吃一条街吧。 03不论台湾，还是西藏新疆，一寸一厘的国土都不能让，谁知道上面能长出什么好吃的来。04什么事情都爱用吃来形容：工作不叫工作，叫饭碗。开除不叫开除，叫炒鱿鱼。嫉妒叫吃醋，占便宜叫吃豆腐，被起诉叫吃官司，拿人好处叫吃回扣，没遇着人叫吃闭门羹。没钱了都想着用吃土来形容！你自己说，中国人爱不爱吃？ 05作为入侵物种，小龙虾在中国颜面扫地，居然沦落到要靠人工养殖才能活下去……如果有外来物种入侵中国成功了，一定是因为它不好吃。06我这辈子，唯一拿得起放不下的，就是筷子了。 07晚上宿舍一人饿醒，全宿舍人都饿了。翻遍宿舍找不到吃的，超市又关门。没办法我们就把剩下的三包板蓝根冲了，六个人分着喝了。08世界上一定不存在美人鱼，否则历史上会记载它的做法和口感。 09为了过春节，中国人发明了水饺。为了过元宵，中国人发明了汤圆。为了过清明，中国人发明了青团。为了过端午，中国人发明了粽子。为了过中秋，中国人发明了月饼。为了过腊八，中国人发明了腊八粥…… 10有多少人把奶酪陷阱看成了奶酪馅饼...11之前有个网站说国外有个沙滩海蜇泛滥，问怎么办。中国网友看了很着急：凉拌啊！12我相信，红领巾角的口感和味道，很多人都无法忘怀。 13关于做菜的汉字是最多的：蒸、煮、煎、熬，滚、汆、涮、煲、烫、炙、卤、酱、风、腊、熏、糟、醉，酿...还有那一系列火字旁的汉字：炒、炝、炊、烧、爆、炸、灼、焗、焖、炆、烩、熘、焯、煨、烘、炖、煸、烤。 14为了唐僧肉，妖怪们出演了一部《西游记》。15中国有很多优秀的纪录片，然而只有《舌尖上的中国》被挖了出来。16每条大街小巷，每个人的嘴里，见面第一句话，你吃饭了吗？ 17毕竟一个小龙虾就有：麻辣、香辣、爆炒、油炸、油闷、酱爆、葱爆、椒盐、清蒸、干煸、白灼、红烧、水煮、冰镇、卤水、茄汁、鱼香、蒜香、酒香、五香、十三香……各种吃法。 18教室里打开一包零食，就像人民广场喂鸽子。19在我国，东西分三类，直接吃的，看着好像可以吃的，得想点办法才能吃的。 20我这个人性情不定，问我借九块钱，不还都可以。可要是从我九块钱的麦辣鸡翅里拿走一块，我得打得你永生难忘...21“说，你除了吃还会什么？”“还会饿。”22亚当和夏娃吃了蛇给他们的禁果，遭到了上帝的惩罚！被逐出伊甸园，所以有了人类。如果亚当和夏娃是中国人，那被吃的……应该是那条蛇。 23一篇科学报导说：开曼群岛附近的火山口发现了一种白色盲虾，可以耐热450°。我第一反应是：那开水肯定是煮不熟，只能用油炸了吧。24喝酸奶舔盖，吃薯片舔手，吃辣条舔袋。25连“丑”都可以说是“吃藕”，你说中国人对于吃有多执着吧！ 26晚上睡不着觉就开始数羊：一只羊、两只羊、三只羊、喜羊羊，美羊羊，懒羊羊，沸羊羊，小肥羊，海底捞，麻酱，小料，金针菇，虾滑，宽粉，海带，豆芽，大海螺，茼蒿，菠菜……我的神，下楼！不睡了！！！27世界上没有什么事是一顿烧烤不能解决的。如果有，那就两顿。 28我看新闻经常看到的画面是：领导人到农村视察，然后直接进了别人家的厨房，打开锅盖看别人吃什么。29你们吃是为了活着，我们活着是为了吃。30看看欧美人的生活，我们差距还是蛮大的。人家动辄鲤鱼成灾，小龙虾成灾，河蟹成灾……而在我国，蝗虫都不敢聚堆，因为超过十只就会被炒成菜。 31《舌尖上的中国》里有一句话至今无法忘怀：吃过早茶后，她主要的任务是准备晚饭。 32在宿舍，钱放桌子上不会丢，薯片放桌子上回来就不见了。33国民难题：中午吃什么？！晚上吃什么？！ 素材来源 | 小基快跑（ID：xiaojikuaipao2014），如有侵权请联系作者删除编辑 | 穆木酱阅读投诉阅读精选留言加载中以上留言由公众号筛选后显示了解留言功能详情"
"这是一个新闻,新闻的关键词是《贫穷富爸爸》一次囧途，一场爱的教养,摘要为11月10日有一部港产合家欢喜剧《贫穷富爸爸》登陆内地各大影院！本片由香港著名编剧及导演张坚庭先生执导主演：郑嘉颖、小小彬组成父子档CP为影,标题为《贫穷富爸爸》一次囧途，一场爱的教养,正文为11月10日有一部港产合家欢喜剧《贫穷富爸爸》登陆内地各大影院！本片由香港著名编剧及导演张坚庭先生执导主演：郑嘉颖、小小彬组成父子档CP为影迷欢笑逗趣。 张坚庭导演透露，《贫穷富爸爸》取材于自己和身边发生的真实故事。讲述了富豪爸爸李兵为教育被物质彻底宠坏的儿子李之，假装破产并同儿子一起参与一次香港穷游，由此带来的一系列啼笑皆非、感同身受的囧事。 本片是一部探讨当代亲子教育的公路电影。谈及创作灵感，张导笑称，源自与家人出国旅行时的经历，08年经济危机时自己带着女儿参加了个廉价旅行团，一路上各种囧途，女儿以为自己成了“破产姐妹”，这件事令其感触颇深，写了这个剧本。同时张导也坦言，之所以选他的一大原因就是他没有结婚生子，对小孩较冷漠，在拍摄中逐渐也得到了成长，重视了家庭的意义。 我们也可以看到人小鬼大的小小彬关于成长的烦恼，之前《新天生一对》小小彬就和周渝民上演了父子档戏码，这次新的CP增加了新鲜感。 两位男神在剧中将会触碰出怎样紧张，感人的故事呢？ 相信大家在现实生活中听过很多有关这样的真实故事 这样的结局会是爸爸李兵想要的吗？11月10日来电影寻找答案 《贫穷富爸爸》11月10日上映约吗？ 勒泰中心5Fwww.sjzume.com.cn微信ID:UME1986004286 长按左侧二维码关注不满1.4米儿童需购买半价票入场"
"这是一个新闻,新闻的关键词是山东口岸进口韩国家电不合格率近五成,摘要为央广网青岛10月26日消息（记者王伟通讯员张刚）记者从山东出入境检验检疫局获悉，近年来，受中韩自贸协定实施以及跨境电商及海外代购的迅速发展等,标题为山东口岸进口韩国家电不合格率近五成,正文为央广网青岛10月26日消息（记者王伟通讯员张刚）记者从山东出入境检验检疫局获悉，近年来，受中韩自贸协定实施以及跨境电商及海外代购的迅速发展等因素影响，山东口岸进口韩国家电产品持续增长。今年1-9月，山东检验检疫局共抽样检测韩国家电产品34批，检测不合格16批，不合格率高达47.1%，韩国家电产品质量安全问题突出。据了解，进口韩国家电产品主要存在三个方面质量问题：一是安全结构存在重大设计缺陷。部分产品机械危险防护不合格，正常操作或发生意外时容易造成机械伤害和触电危险。二是保护措施存在严重缺陷。部分产品缺少接地措施，导致接地不连贯，易造成触电事故发生。三是标志及使用信息不规范。缺少我国标准要求的标志、使用信息或未使用简体中文，容易使消费者误操作，产生不应有的伤害。山东检验检疫局相关工作人员介绍说，造成进口韩国家电产品质量安全问题突出的主要原因：一是部分韩国不法制造商制造假冒伪劣产品销往中国。该部分制造商规模小，技术能力差，尚未建立设计研发、技术评价、自检自控的质量保证体系，为赚取最大利润，对输华产品粗制滥造。二是进口韩国家电产品市场乱象凸显。随着韩国家电产品在我国市场热度的不断提高，一些乱象逐步凸显。目前，非正常贸易渠道进入中国市场的家电产品主要通过携带和邮寄两种方式。由于对携带和邮寄交易过程的监管存在难度，且跨国维权的责任主体难以辨认，通过这些渠道进口的家电产品质量很难得到保障。针对进口韩国家电产品存在的有关问题，山东检验检疫局积极采取有效措施，开展风险分析，并进一步完善检验检疫监管和监督抽检计划，加强抽样检测的力度，开展口岸抽查检测与不定期市场抽查检测相结合的方式，严把进口家电产品质量关；要求进口商落实主体责任，建立和完善家电产品进口和销售记录制度，加强溯源管理。同时加大缺陷召回力度。对不合格的进口家电产品启动缺陷调查程序，确定存在缺陷的，按照《缺陷消费品召回管理办法》实施召回，并对召回情况进行监督管理，切实维护消费者生命财产安全。"
"这是一个新闻,新闻的关键词是爸爸数钱，母子俩笑的合不拢嘴！,摘要为建议在WiFi条件下观看：,标题为爸爸数钱，母子俩笑的合不拢嘴！,正文为建议在WiFi条件下观看："
"这是一个新闻,新闻的关键词是10月21日现货报价，仅供参考,摘要为手机抢购网：www.sjqgw.com（域名为手机抢购网五个字的首字母）发布每日报价一般在当天晚上，已经不能发当日快递了，所以只能作为第二日,标题为10月21日现货报价，仅供参考,正文为手机抢购网：www.sjqgw.com（域名为手机抢购网五个字的首字母）发布每日报价一般在当天晚上，已经不能发当日快递了，所以只能作为第二日抢购参考用。10月21日现货报价，仅供参考【新品】锤子M1(4+32)白色2530 咖啡金2550锤子M1L(4+32)白色2830 咖啡金2850锤子M1L(6+64)白色3040 咖啡金3050锤子M1L(6+64)不锈钢白3400【小米】--------------小米5S 64G版银1895 金2090 灰2080小米5S 128G版银2260 金2280灰2380小米5Splus 64G金2295银2350 灰2350小米5Splus 128G金2640 银2670 灰2620红米pro标准银1030 黑1030 金1030红米pro高配银1160 黑1160 金1160红米note4标准金885 银865 灰865红米note4高配金1115 银1105 灰1105小米笔记本12.5寸3220 13.3寸5020小米Max-32G版金1155 银1145 64G版金1325 银1325小米Max-128G版金黑1685 银1685 16G版金955 银955小米5标准白1515 黑1548 金1520 紫1520小米5高配白1655 黑1740 金1710 紫1700小米5尊享玻璃白2110 黑2270 陶瓷黑2480 白2375小米4S金1260 银1410 紫1250 黑1410红米3白645 灰645 时尚金633红米3增强白860 金785 黑860红米note3双网标准金720 银710 灰705红米note3双网高配金925 银935 灰895红米note3全网低配金730 银730 黑725红米note3全网高配金935 银945 黑1000小米平板2-16G金925 银920 粉940小米平板2-64G安卓金1310银1305 粉1260小米平板2-64Gwin金1310银1260 粉1260扫地机器人1715小米VR-38 路由3C-83小米手环2-147 手环光感版57 普通55【华为】--------------华为nova全网4+64G版2000 畅玩5移动金580 黑580 银585畅玩5全网黑600 白595 金595荣耀8 3+32G版公开金1920 银1915荣耀8 3+32G版白2080 金2180 蓝2160荣耀8 4+32G版白2185 金2185蓝2340黑2270荣耀8 4+64G版白2270 金2470 蓝2580黑2480 粉23905C移动银795 黑805 金795 双网银830 黑830 金8555C全网低配白890 黑890 金8905C全网高配金1085 银1065 灰10905X移动银875 黑875 金8755X全网金1040 银1070灰1015荣耀7全网金1710荣耀7i全网沙滩金1360 日曜金13504A移动白630 黑630金640全网白650 黑660 金645【魅族】-----------------魅蓝Max银1220 金1260 粉1260 黑1260魅蓝E银1010 金1000 黑1000魅蓝3S标准白625 灰620 金645 高配白745 黑760 金790魅蓝3全网标准白585 灰590 金585 粉590 蓝585魅蓝note3-16G白760 黑755 金760 电信白765 金770魅蓝note3-32G银915 金990 黑860魅族pro6公开1700 64G版2100【苹果】---------------苹果7 32G 金4950 粉4800 银4780 黑4730苹果7 128G 金5500 粉5450 银5550 黑5680 亮黑5730苹果7 256G 金5750 粉5750 银5750 黑6000 亮黑6150苹果7plus 32G 金6550 粉6350 银6380 黑6230苹果7plus 128G 金7450 粉7100 银7350 黑7650 亮黑7650苹果7plus 256G 金7600 粉7600 银7600 黑8200 亮黑9100苹果6s 16G 金3620 粉3580 银3620 灰3680苹果6s 64G 金4600 粉4600 银4550 黑4580苹果6s 128G金4750 粉4750 银4700 黑4700苹果6splus 64G 金5650 玫瑰金5650 银5410 黑5600苹果6splus 128G金5750 玫瑰金5750 银5660 黑5660【其他】-----------------乐pro3标准1740 高配1995乐2金995 原力金945 银1135乐Pro2(620)1175 (625)1210乐Max2 32G版1250 64G版2150美图M6标准白2635粉2600 HT版粉2890 白2640美图V4S粉4250白4250绿4250 雅致版4800一加3-灰2630 金2760Z11全网通标准银2440 灰2300 金2420 黑金2680Z11全网通尊享3380360手机N4A待定360手机N4移动905 全网白920 黑925N4S全网1140 高配1330 f4高配版635360手机Q5-1750 Q5plus行政版2150 Q5plus1850迅雷赚钱宝pro-700 (迅雷宝收货价格差距很大)"
"这是一个新闻,新闻的关键词是女人说的话VS女人心里的话,摘要为1.上厕所2.打电动3.煮饭和美女一姐探讨污段子，能征服一姐，就送你一套看片神器！微信添加朋友→公众号→搜“姿势情报局一姐”（已认证），太纯,标题为女人说的话VS女人心里的话,正文为1.上厕所 2.打电动 3.煮饭 和美女一姐探讨污段子，能征服一姐，就送你一套看片神器！微信添加朋友→公众号→搜“姿势情报局一姐”（已认证），太纯洁的，不要来！4.准备出门 5.晚睡 6.洗衣服 7.看电影 8.啪啪啪 有没有戳中你呢？"
"这是一个新闻,新闻的关键词是交易额，小微,摘要为日前，记者了解到，凭借“上市公司+”和“担保公司+”的双重创新运作模式，综合性互联网金融平台鹏金所上线仅4个月交易额即已突破10亿大关，创造,标题为上线四月鹏金所交易额破10亿 开放创新模式引行业关注(图),正文为日前，记者了解到，凭借“上市公司+”和“担保公司+”的双重创新运作模式，综合性互联网金融平台鹏金所上线仅4个月交易额即已突破10亿大关，创造了互联网金融平台上线后交易额破10亿的新速度。互联网金融平台10亿关口大提速据第三方数据显示，陆金所旗下“稳盈-安e贷”交易额突破10亿大关，用时两年半;人人贷达到10亿元的成交规模用了一年半时间;其中国资系互联网金融平台众信金融以半年时间实现交易额破10亿大关领衔众平台。但这一速度很快被后起之秀鹏金所打破。据悉，2014年12月才上线公测的鹏金所，仅用4个月左右的时间，就已经突破10亿元交易额，互联网金融行业再现“深圳速度”。对此，业内人士分析，对于一个新上线的平台，能在短短4个月的时间内获得投资者的关注，并取得破10亿的成绩，这与社会对互联网金融行业认可度的不断提升息息相关，也与鹏金所平台自身独特的商业运作模式密不可分。模式创新平台获青睐记者查阅资料发现，与陆金所、红岭创投等平台不同，鹏金所在股东背景、项目运作等方面有着颇具创新的开放式经营特点。在股东来源方面，鹏金所由22家境内外上市公司联合打造，初步形成了“互联网+金融+X”的全行业布局。业内人士认为，与单纯的资本运作相比，鹏金所这种不同行业的跨界合作一方面增强了平台抵御风险的实力，另一方面也给互联网金融行业的未来发展打开了更为广阔的想象空间。鹏金所22家境内外上市公司股东名单 而在项目运作方面，鹏金所目前的鹏金保产品则采取“担保公司+”的开放式营运策略，在行业内首创与全国性国有龙头担保公司联手的模式，降低业务控制风险，解决了优质项目源的问题。 而在项目运作方面，鹏金所目前的鹏金保产品则采取“担保公司+”的开放式营运策略，在行业内首创与全国性国有龙头担保公司联手的模式，降低业务控制风险，解决了优质项目源的问题。鹏金所总裁吴晓文接受记者采访时表示：小微企业融资难一直是一个普遍现象，担保机构作为长期以来服务小微企业的主力，对小微企业进行长期的调研跟踪，掌握了小微企业的真实运营状况。鹏金所通过与国有担保机构合作，上线以来，累计扶持中小微企业达到150余家，帮助降低了小微企业融资门槛，助推我国实体经济发展。正是通过将金融和互联网科技结合，鹏金所为小微企业融资搭建了一个高效的平台，也为全国各地实体经济发展提供了新思路。吴晓文表示：未来，鹏金所将全方位、多维度地深耕与上市公司、国有担保机构的合作，开发更丰富的、更符合中小微企业融资需求的金融产品，打造成一个拥有网贷、供应链金融、股权众筹等多种业务模式的综合性互联网金融交易平台。"
